Date;BOISE;CONED;CONTIL;CITCRP;DATGEN;DEC;DELTA;GENMIL;GERBER;IBM;MOBIL;PANAM;PSNH;TANDY;TEXACO;WEYER;DOW;DUPONT;GPU;MOTOR;CONOCO;MARKET;RKFREE;GOLD;POIL;FRBIND;CPI
1982-09;-0.109;0.039;0.058;0.059;-0.165;-0.061;-0.139;0;0.209;0.041;0.043;-0.259;0.032;-0.026;0.027;-0.029;-0.066;-0.011;-0.021;-0.054;;0.008;0.006;0.19;22.59;143.9;251.7
1982-10;0.314;-0.05;0.268;0.318;0.528;0.133;0.171;0.16;-0.009;0.089;0.02;0.35;0.079;0.454;0.056;0.15;0.133;0.116;0.109;0.18;;0.136;0.006;-0.031;23.23;146.5;253.9
1982-11;0.145;-0.011;-0.106;0.007;0.003;0.175;0.289;-0.025;-0.072;0.094;-0.04;0.074;0.015;0.273;0.012;0.141;0.019;-0.007;-0.02;0.066;;0.049;0.006;-0.019;23.92;148.5;256.2
1982-12;-0.001;0.123;0.037;-0.098;0.053;-0.052;0.093;-0.02;0.015;0.113;0.069;0;0.022;-0.042;0.029;-0.04;0.003;-0.047;0.08;-0.018;;0.014;0.006;0.074;25.8;150;258.4
1983-01;-0.045;-0.012;0.049;0.085;0.208;0.225;0.04;-0.039;0.015;0.027;0.055;0.103;0.066;0.091;0.036;0.023;0.111;0.115;0.185;0.138;;0.065;0.006;0.079;28.85;151.4;260.5
1983-02;0.037;0.06;-0.035;0.039;0.237;-0.01;0.027;0.067;0.024;0.01;0.009;0.406;0.021;0.032;0.008;0.065;0.078;0.015;-0.031;0.126;;0.028;0.006;0.022;34.1;151.8;263.2
1983-03;0.113;0.048;0.097;0.132;0.04;0.034;-0.016;0.061;0.084;0.028;0.095;-0.067;0.041;-0.004;0.039;-0.023;-0.098;0.041;0;-0.043;;0.043;0.007;-0.144;34.7;152.1;265.1
1983-04;0.082;0.045;0.073;0.104;0.079;-0.06;-0.043;0.066;0.119;0.15;0.091;0.024;-0.005;0.084;0.098;0.091;0.205;0.126;0.161;0.016;;0.097;0.007;0.03;34.05;151.9;266.8
1983-05;-0.014;-0.012;0;-0.102;-0.114;-0.052;-0.045;0.023;0.016;-0.041;-0.052;0.186;0;-0.01;-0.038;-0.067;0;0.047;0.028;0.056;;0.08;0.006;0.013;32.71;152.7;269
1983-06;-0.13;0;-0.068;-0.016;-0.042;0.075;0.012;-0.026;0.114;0.081;0.077;0.275;-0.087;-0.168;0.018;-0.013;0.017;-0.015;-0.014;0.192;;0.048;0.007;-0.057;31.71;152.9;271.3
1983-07;-0.087;0.017;0.046;-0.079;0.173;-0.142;-0.259;-0.072;-0.007;0.001;-0.06;-0.015;0.009;-0.123;0.036;-0.071;0.011;0.005;-0.041;-0.013;;-0.017;0.007;0.026;31.13;153.9;274.4
1983-08;0.06;-0.023;0.055;-0.007;0.053;0.007;0.08;-0.01;0.062;0.001;0.118;-0.047;-0.015;-0.048;0.059;-0.011;0.1;0.106;0;-0.026;;-0.034;0.007;-0.017;31.13;153.6;276.5
1983-09;0.102;0.087;-0.026;0.006;0.09;-0.005;0.041;-0.037;0.049;0.062;-0.05;-0.066;0.069;-0.083;-0.037;-0.033;-0.001;-0.012;-0.071;0.078;;0;0.007;-0.012;31.13;151.6;279.3
1983-10;-0.052;0.101;-0.088;-0.118;-0.069;-0.364;0.039;0.116;0;-0.001;-0.032;0.035;-0.013;-0.058;-0.014;-0.046;-0.055;-0.007;-0.077;-0.064;;-0.082;0.007;-0.042;31;149.1;279.9
1983-11;0.147;-0.025;0.096;0.162;-0.014;0.065;0.12;-0.014;0.077;-0.066;-0.033;0.119;-0.149;0.082;0.011;0.151;-0.051;0.062;0.067;0.076;;0.066;0.007;-0.03;30.98;146.3;280.7
1983-12;-0.012;0.005;-0.016;0.023;0.068;0.034;-0.028;-0.009;0.063;0.039;0.009;-0.015;-0.193;0.095;0.021;-0.069;0.033;-0.037;-0.031;-0.031;;-0.012;0.007;0.015;30.72;143.4;281.5
1984-01;-0.054;0.005;-0.034;0.024;0.117;0.208;-0.013;-0.009;0.065;-0.065;0.084;0.031;0.013;-0.19;0.108;-0.039;-0.052;-0.043;-0.016;-0.114;;-0.029;0.007;-0.043;30.87;140.7;282.5
1984-02;-0.088;-0.069;-0.101;-0.039;0.027;-0.024;-0.117;-0.073;-0.091;-0.026;0.024;-0.179;-0.011;-0.1;0.151;-0.093;-0.115;-0.034;0.033;-0.035;;-0.03;0.007;0.041;29.76;142.9;283.4
1984-03;0.079;0.055;-0.033;-0.054;0.056;0.057;0.065;-0.018;-0.003;0.034;-0.028;-0.018;-0.227;-0.008;-0.122;0.094;0.15;0.04;0.048;0.016;;0.003;0.008;0.022;28.31;141.7;283.1
1984-04;0.012;0.031;-0.231;-0.004;0.089;0.053;-0.085;0.065;-0.025;-0.002;0.029;-0.185;-0.485;0.12;0.022;-0.088;0.02;0.025;-0.015;0.026;;-0.003;0.007;-0.032;27.65;140.2;284.3
1984-05;-0.172;0.021;-0.6;-0.148;-0.094;-0.071;-0.07;0.018;-0.087;-0.044;-0.146;-0.045;0.143;-0.231;-0.105;-0.087;-0.124;-0.055;0.077;-0.129;;-0.058;0.006;-0.011;27.67;139.2;287.1
1984-06;0.025;0.02;0;0.078;0.056;-0.043;-0.012;0.055;0.105;-0.019;0.01;-0.024;-0.05;-0.037;-0.046;0.019;0.003;-0.029;0.029;-0.046;;0.005;0.007;0.001;28.11;138.7;290.6
1984-07;0.015;0.054;-0.205;-0.029;-0.061;-0.009;0.045;-0.018;-0.112;0.047;-0.092;-0.024;-0.158;0.029;-0.044;0.036;0.013;-0.03;0.083;0.064;;-0.058;0.008;-0.083;28.33;138.8;292.6
1984-08;0.177;0.029;0.086;0.164;0.312;0.159;0.04;0.061;0.018;0.127;0.261;0;0.031;0.079;0.14;0.055;0.101;0.147;0.026;0.225;;0.146;0.009;0.004;28.18;138.4;292.8
1984-09;-0.056;0.051;0.974;0.076;-0.132;-0.025;0.008;0.011;0.165;0.004;0.013;0;0;-0.1;0.045;-0.069;-0.082;-0.007;0.013;-0.149;;0;0.008;-0.019;27.99;137.3;293.3
1984-10;0.053;0.019;-0.232;-0.027;0.047;0.093;0.161;-0.01;-0.16;0.012;0.014;-0.05;-0.061;-0.096;-0.08;0.035;0.027;-0.055;0.086;-0.058;;-0.035;0.007;-0.002;28.74;135.8;294.1
1984-11;-0.038;0.004;-0.023;0;0.019;0.006;-0.026;-0.072;0.094;-0.023;-0.042;-0.026;0.194;0.027;0.007;0.032;-0.009;0.008;0.023;-0.097;;-0.019;0.006;0.003;28.7;134.8;293.6
1984-12;0.068;0.084;0.095;0.098;0.096;0.07;0.156;0.017;-0.005;0.011;-0.052;0;-0.189;0.005;0;0.026;-0.028;0.065;0.022;0.081;;-0.001;0.006;-0.065;28.12;134.7;292.4
1985-01;0.046;-0.021;0.587;0.097;0.215;0.084;-0.01;0.095;0.091;0.108;0.053;-0.027;0.267;0.17;0.044;0.084;0.077;0.043;0;0.111;;0.097;0.006;-0.063;27.22;137.4;293.1
1985-02;-0.059;0.034;-0.096;-0.015;-0.21;-0.067;0.087;0;0.006;-0.009;0.071;-0.028;0.026;0.119;0.022;-0.016;0.008;0.031;0.087;-0.077;;0.012;0.006;0.017;26.41;138.1;293.2
1985-03;-0.029;0.057;0.03;0.046;-0.195;-0.071;-0.003;0.054;0.13;-0.052;0;0.086;-0.077;0.094;0.014;-0.081;-0.014;-0.012;-0.04;-0.035;;0.008;0.007;-0.044;26.08;140;293.4
1985-04;0.01;0.019;-0.029;0.012;-0.157;-0.05;-0.123;-0.083;-0.037;-0.004;0.027;0.053;-0.056;-0.133;0.111;0.003;0.034;0.07;-0.01;-0.083;;-0.01;0.006;0.134;25.85;142.6;295.5
1985-05;0.158;0.098;-0.091;0.094;-0.078;0.057;0.179;0.137;0.234;0.025;0.029;0.35;0.059;0.091;-0.065;0.031;0.133;0.101;0.179;0.074;;0.019;0.005;-0.022;26.08;144.4;297.1
1985-06;0.086;0.046;-0.05;0.043;0.06;-0.101;0.021;0.06;-0.031;-0.038;-0.032;0.056;0.222;0.087;0.031;-0.004;0.065;-0.037;0.009;0.047;;-0.003;0.005;-0.014;25.98;146.4;298.1
1985-07;-0.026;-0.084;0.018;-0.03;0.043;0.08;0.008;-0.099;-0.036;0.062;0.002;0;0.318;-0.119;-0.03;0.02;0.031;0.03;-0.062;0.062;;0.012;0.006;-0.008;25.86;149.7;299.3
1985-08;0.011;0.043;-0.052;-0.063;-0.006;0.032;-0.066;0.002;0.025;-0.028;-0.013;0.088;0.121;0.063;0.021;-0.013;-0.027;-0.023;0.085;0.003;;0.005;0.005;0.033;26.03;151.8;300.3
1985-09;-0.095;-0.032;0.036;-0.085;0;0.036;-0.112;0.081;-0.048;-0.022;0.004;-0.065;-0.046;-0.011;-0.007;-0.074;-0.029;-0.006;-0.043;-0.047;;-0.055;0.006;-0.014;26.08;153.8;301.8
1985-10;-0.035;0.066;0.105;0.09;0.032;0.04;-0.083;0.013;0.097;0.048;0.1;0.069;0.016;0.098;0.099;0.008;0.062;0.085;0.145;-0.098;;0.026;0.006;0.017;26.04;155;302.6
1985-11;0.088;0.032;0.048;0.062;0.109;0.073;0.02;0.114;0.137;0.085;-0.008;0.016;0;0.021;-0.175;0.171;0.065;0.03;0.032;0.137;;0.059;0.005;-0.004;26.09;155.3;303.1
1985-12;0.064;0.082;0.197;0.065;0.023;0.095;0.03;0.027;0.063;0.113;-0.04;-0.016;0.063;0.098;-0.077;-0.004;0.066;0.071;0.046;0.103;;0.013;0.005;-0.023;25.88;156.2;303.5
1986-01;0.032;0.022;0;0.005;-0.055;0.162;0.122;0.019;-0.088;-0.026;-0.021;0.129;0.224;-0.04;-0.038;0.072;;;;;;-0.009;0.005;0;25.93;158.5;305.4
1986-02;0.093;0.048;-0.051;0.101;-0.044;0.093;-0.055;0.121;0.034;0.003;-0.003;-0.029;0.049;0.096;0.071;0.123;;;;;;0.049;0.005;0;26.06;160;606.6
1986-03;0.066;0.021;-0.04;0.153;-0.043;-0.063;0.076;0.072;0.174;0.004;-0.026;-0.074;0.023;-0.047;-0.004;0.051;;;;;;0.048;0.005;0;26.05;160.8;607.3
1986-04;-0.013;-0.006;-0.097;-0.042;0.061;0.119;0.059;-0.051;0.113;0.031;0.042;-0.206;-0.136;-0.058;0.05;-0.037;;;;;;-0.009;0.004;0;25.93;162.1;308.8
1986-05;0.072;0.042;-0.046;0.038;-0.015;0.037;-0.043;0.109;-0.04;-0.018;0.082;0.06;-0.092;0.094;0.069;0.01;;;;;;0.049;0.005;0;26;162.8;309.7
1986-06;-0.013;0.017;-0.161;-0.036;-0.155;-0.063;-0.07;0.071;-0.038;-0.039;0.012;-0.094;0.101;-0.092;-0.042;-0.061;;;;;;0.004;0.005;0;26.09;164.4;310.7
1986-07;-0.06;0.125;-0.038;-0.117;-0.072;0.066;0.018;0.049;-0.105;-0.096;-0.022;-0.063;-0.092;-0.078;-0.036;-0.048;;;;;;-0.076;0.005;0;26.11;165.9;311.7
1986-08;0.115;0.061;-0.04;0.082;0.167;0.105;0.018;0.003;0.111;0.055;0.173;0.022;0.13;0.018;0.135;0.122;;;;;;0.049;0.003;0;26.02;166;313
1986-09;-0.052;-0.139;0.021;-0.111;-0.24;-0.11;0.026;-0.088;0.037;-0.031;0.053;-0.065;-0.179;-0.108;0.026;-0.058;;;;;;-0.047;0.004;0;25.97;165;314.5
1986-10;0.059;0.045;0;0.04;0.105;0.103;0.134;0.123;-0.069;-0.081;0.02;0.023;0.172;0.242;0.043;0.135;;;;;;0.018;0.004;0;25.92;164.5;315.3
1986-11;0.023;0.07;-0.143;0.01;0.02;0.048;-0.018;0.011;-0.02;0.037;0.044;0.023;-0.08;0.094;-0.028;0.006;;;;;;0;0.004;0;25.44;165.2;315.3
1986-12;-0.027;-0.046;0.028;0.019;-0.078;0.008;-0.01;-0.034;-0.06;-0.056;0.019;-0.244;-0.029;-0.023;0.047;-0.041;;;;;;-0.005;0.004;0;25.05;166.2;315.5
1987-01;0.276;0.04;0.093;0.087;0.135;0.385;0.161;0.123;0.057;0.073;0.093;0.353;0.03;0.13;0.049;0.27;;;;;;0.148;0.005;0;24.28;165.6;316.1
1987-02;-0.008;-0.067;-0.064;-0.066;0.045;0.056;0.133;0.049;0.019;0.092;-0.022;-0.152;-0.014;0.174;-0.08;0.094;;;;;;0.065;0.004;0;23.63;165.7;317.4
1987-03;0.071;-0.05;-0.087;-0.052;-0.096;0.061;-0.129;0.01;0.04;0.076;0.124;-0.103;-0.029;-0.118;0.103;0.089;;;;;;0.037;0.004;0;23.88;166.1;318.8
1987-04;-0.037;0.02;-0.025;0.07;-0.02;0.055;-0.121;-0.104;-0.063;0.067;-0.007;0.114;-0.182;-0.119;-0.094;-0.027;;;;;;-0.025;0.002;0;24.15;166.2;320.1
1987-05;-0.111;-0.012;0;0.052;0.161;-0.082;0.151;0.19;0.138;0.006;-0.003;0;-0.093;-0.026;0.114;-0.107;;;;;;0.004;0.004;0;24.18;166.2;321.3
1987-06;0.063;0.059;0.081;0.051;-0.145;0.041;0.014;0.03;0.005;0.016;0.091;0.103;-0.245;0.045;0.073;0.026;;;;;;0.038;0.004;0;24.03;166.5;322.3
1987-07;0.064;-0.039;0.071;0.041;0.057;0;0.043;0.036;0.232;-0.009;0.032;0;-0.081;0.087;0.142;0.021;;;;;;0.055;0.005;0;24;166.2;322.8
1987-08;0.061;0.043;-0.044;0.033;-0.008;0.157;-0.037;0.022;-0.113;0.053;0.03;-0.093;0.147;0.027;-0.076;0.081;;;;;;0.015;0.005;0;23.92;167.7;323.5
1987-09;-0.029;-0.006;0.004;-0.086;0.015;0.001;-0.067;-0.009;-0.061;-0.105;-0.082;-0.051;-0.256;0.088;-0.053;-0.054;;;;;;-0.015;0.005;0;23.93;167.6;324.5
1987-10;-0.274;-0.017;-0.372;-0.282;-0.342;-0.281;-0.26;-0.148;-0.288;-0.187;-0.178;-0.27;-0.034;-0.246;-0.194;-0.271;;;;;;-0.26;0.004;0;24.06;166.6;325.5
1987-11;0.043;-0.012;-0.148;-0.136;-0.075;-0.127;-0.137;-0.102;-0.085;-0.087;-0.15;0.185;0.143;-0.19;-0.031;-0.066;;;;;;-0.07;0.003;0;24.31;167.6;326.6
1987-12;0.142;-0.006;0.05;0.064;0.181;0.134;0.121;0.128;0.07;0.043;0.159;-0.313;-0.375;0.04;0.178;0.103;;;;;;0.073;0.003;0;24.53;168.8;327.4
